iter	Passed	Remaining
756	84894	16036
757	84973	15918
758	85056	15801
759	85138	15683
760	85213	15564
761	85302	15448
762	85390	15332
763	85474	15215
764	85556	15098
765	85641	14981
766	85725	14865
767	85812	14749
768	85899	14633
769	85986	14517
770	86065	14400
771	86149	14283
772	86229	14167
773	86313	14051
774	86399	13935
775	86482	13819
776	86565	13703
777	86647	13587
778	86730	13471
779	86813	13355
780	86895	13240
781	86979	13124
782	87062	13009
783	87143	12893
784	87223	12777
785	87308	12663
786	87387	12547
787	87465	12431
788	87550	12317
789	87632	12201
790	87705	12085
791	87778	11969
792	87849	11853
793	87927	11738
794	88003	11623
795	88081	11508
796	88163	11393
797	88240	11278
798	88320	11164
799	88404	11050
800	88483	10936
801	88558	10821
802	88632	10706
803	88712	10592
804	88798	10479
805	88879	10365
806	88962	10252
807	89046	10138
808	89136	10026
809	89224	9913
810	89467	9818
811	89594	9709
812	89728	9601
813	89841	9491
814	89919	9378
815	90000	9264
816	90079	9151
817	90161	9038
818	90243	8925
819	90324	8812
820	90508	8709
821	90619	8598
822	90702	8486
823	90785	8373
824	90870	8260
825	90949	8148
826	91030	8035
827	91108	7922
828	91182	7809
829	91257	7696
830	91326	7583
831	91405	7470
832	91482	7358
833	91563	7246
834	91676	7136
835	91798	7027
836	91885	6916
837	91982	6805
838	92090	6695
839	92179	6584
840	92280	6473
841	92374	6363
842	92470	6252
843	92560	6141
844	92672	6031
845	92789	5922
846	92906	5813
847	93028	5704
848	93165	5596
849	93285	5487
850	93399	5377
851	93515	5268
852	93608	5157
853	93700	5047
854	93813	4937
855	93944	4828
856	94030	4717
857	94104	4606
858	94206	4496
859	94293	4385
860	94378	4274
861	94469	4164
862	94556	4054
863	94678	3944
864	94830	3837
865	94945	3727
866	95127	3620
867	95249	3511
868	95374	3402
869	95473	3292
870	95564	3181
871	95654	3071
872	95742	2961
873	95864	2851
874	95978	2742
875	96139	2633
876	96229	2523
877	96329	2413
878	96418	2303
879	96518	2193
880	96614	2083
881	96749	1974
882	96870	1865
883	97018	1755
884	97159	1646
885	97251	1536
886	97338	1426
887	97456	1316
888	97578	1207
889	97667	1097
890	97765	987
891	97869	877
892	97967	767
893	98085	658
894	98188	548
895	98273	438
896	98370	328
897	98467	219
898	98553	109
899	98636	0
